"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,
"AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65694,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34558,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.97044,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.56635,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.43109,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98743,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.75635,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.30949,
"CAN","EMP","TOT","PC_WKGPOP","A","2008",73.45834,
"CAN","EMP","TOT","PC_WKGPOP","A","2009",71.50833,
"CAN","EMP","TOT","PC_WKGPOP","A","2010",71.55833,
"CAN","EMP","TOT","PC_WKGPOP","A","2011",71.975,
"CAN","EMP","TOT","PC_WKGPOP","A","2012",72.31667,
"CAN","EMP","TOT","PC_WKGPOP","A","2013",72.71667,
"CAN","EMP","TOT","PC_WKGPOP","A","2014",72.5,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.74167,
"CAN","EMP","TOT","PC_WKGPOP","A","2016",72.675,
"CAN","EMP","TOT","PC_WKGPOP","A","2017",73.56667,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",74.025,
"CAN","EMP","TOT","PC_WKGPOP","A","2019",74.6,
"JPN","EMP","TOT","PC_WKGPOP","A","2008",70.8734,
"JPN","EMP","TOT","PC_WKGPOP","A","2009",70.17559,
"JPN","EMP","TOT","PC_WKGPOP","A","2010",70.28754,
"JPN","EMP","TOT","PC_WKGPOP","A","2011",70.82615,"B"
"JPN","EMP","TOT","PC_WKGPOP","A","2012",70.61858,
"JPN","EMP","TOT","PC_WKGPOP","A","2013",71.7585,
"JPN","EMP","TOT","PC_WKGPOP","A","2014",72.7607,
"JPN","EMP","TOT","PC_WKGPOP","A","2015",73.3971,
"JPN","EMP","TOT","PC_WKGPOP","A","2016",74.52277,
"JPN","EMP","TOT","PC_WKGPOP","A","2017",75.50069,
"JPN","EMP","TOT","PC_WKGPOP","A","2018",77.1633,
"JPN","EMP","TOT","PC_WKGPOP","A","2019",78.11421,
"GBR","EMP","TOT","PC_WKGPOP","A","2008",72.6,
"GBR","EMP","TOT","PC_WKGPOP","A","2009",70.9,
"GBR","EMP","TOT","PC_WKGPOP","A","2010",70.45,
"GBR","EMP","TOT","PC_WKGPOP","A","2011",70.325,
"GBR","EMP","TOT","PC_WKGPOP","A","2012",70.975,
"GBR","EMP","TOT","PC_WKGPOP","A","2013",71.55,
"GBR","EMP","TOT","PC_WKGPOP","A","2014",72.875,
"GBR","EMP","TOT","PC_WKGPOP","A","2015",73.675,
"GBR","EMP","TOT","PC_WKGPOP","A","2016",74.375,
"GBR","EMP","TOT","PC_WKGPOP","A","2017",75,
"GBR","EMP","TOT","PC_WKGPOP","A","2018",75.625,
"GBR","EMP","TOT","PC_WKGPOP","A","2019",76.175,
"USA","EMP","TOT","PC_WKGPOP","A","2008",70.88825,
"USA","EMP","TOT","PC_WKGPOP","A","2009",67.62595,
"USA","EMP","TOT","PC_WKGPOP","A","2010",66.68977,
"USA","EMP","TOT","PC_WKGPOP","A","2011",66.64754,
"USA","EMP","TOT","PC_WKGPOP","A","2012",67.13661,
"USA","EMP","TOT","PC_WKGPOP","A","2013",67.35994,
"USA","EMP","TOT","PC_WKGPOP","A","2014",68.14875,
"USA","EMP","TOT","PC_WKGPOP","A","2015",68.70962,
"USA","EMP","TOT","PC_WKGPOP","A","2016",69.35136,
"USA","EMP","TOT","PC_WKGPOP","A","2017",70.11017,
"USA","EMP","TOT","PC_WKGPOP","A","2018",70.72614,
"USA","EMP","TOT","PC_WKGPOP","A","2019",71.35841,
