"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,
"AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65694,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34558,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.97044,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.56635,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.43109,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98743,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.75635,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.30949,
"AUS","EMP","TOT","PC_WKGPOP","A","2020",72.6767,
"AUS","EMP","TOT","PC_WKGPOP","A","2021",74.93002,
"AUS","EMP","TOT","PC_WKGPOP","A","2022",77.24438,
"CAN","EMP","TOT","PC_WKGPOP","A","2008",73.45834,
"CAN","EMP","TOT","PC_WKGPOP","A","2009",71.50833,
"CAN","EMP","TOT","PC_WKGPOP","A","2010",71.55833,
"CAN","EMP","TOT","PC_WKGPOP","A","2011",71.975,
"CAN","EMP","TOT","PC_WKGPOP","A","2012",72.31667,
"CAN","EMP","TOT","PC_WKGPOP","A","2013",72.71667,
"CAN","EMP","TOT","PC_WKGPOP","A","2014",72.5,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.74167,
"CAN","EMP","TOT","PC_WKGPOP","A","2016",72.675,
"CAN","EMP","TOT","PC_WKGPOP","A","2017",73.56667,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",74.025,
"CAN","EMP","TOT","PC_WKGPOP","A","2019",74.6,
"CAN","EMP","TOT","PC_WKGPOP","A","2020",70.125,
"CAN","EMP","TOT","PC_WKGPOP","A","2021",73.475,
"CAN","EMP","TOT","PC_WKGPOP","A","2022",75.58334,
"FRA","EMP","TOT","PC_WKGPOP","A","2008",65.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2009",64.425,
"FRA","EMP","TOT","PC_WKGPOP","A","2010",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2011",64.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2012",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2013",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2014",64.525,
"FRA","EMP","TOT","PC_WKGPOP","A","2015",64.7,
"FRA","EMP","TOT","PC_WKGPOP","A","2016",65,
"FRA","EMP","TOT","PC_WKGPOP","A","2017",65.55,
"FRA","EMP","TOT","PC_WKGPOP","A","2018",66.15,
"FRA","EMP","TOT","PC_WKGPOP","A","2019",66.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2020",66.1,
"FRA","EMP","TOT","PC_WKGPOP","A","2021",67.25,
"FRA","EMP","TOT","PC_WKGPOP","A","2022",68.125,
"DEU","EMP","TOT","PC_WKGPOP","A","2008",70.1,
"DEU","EMP","TOT","PC_WKGPOP","A","2009",69.375,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2010",70.3,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2011",71.775,
"DEU","EMP","TOT","PC_WKGPOP","A","2012",72.05,
"DEU","EMP","TOT","PC_WKGPOP","A","2013",72.525,
"DEU","EMP","TOT","PC_WKGPOP","A","2014",72.8,
"DEU","EMP","TOT","PC_WKGPOP","A","2015",73,
"DEU","EMP","TOT","PC_WKGPOP","A","2016",73.675,
"DEU","EMP","TOT","PC_WKGPOP","A","2017",74.25,
"DEU","EMP","TOT","PC_WKGPOP","A","2018",74.9,
"DEU","EMP","TOT","PC_WKGPOP","A","2019",75.65,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2020",76.15579,"E"
"DEU","EMP","TOT","PC_WKGPOP","A","2021",75.775,
"DEU","EMP","TOT","PC_WKGPOP","A","2022",77.225,
"ITA","EMP","TOT","PC_WKGPOP","A","2008",58.65,"B"
"ITA","EMP","TOT","PC_WKGPOP","A","2009",56.9,
"ITA","EMP","TOT","PC_WKGPOP","A","2010",56.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2011",56.35,
"ITA","EMP","TOT","PC_WKGPOP","A","2012",56.075,
"ITA","EMP","TOT","PC_WKGPOP","A","2013",54.95,
"ITA","EMP","TOT","PC_WKGPOP","A","2014",55.275,
"ITA","EMP","TOT","PC_WKGPOP","A","2015",56.025,
"ITA","EMP","TOT","PC_WKGPOP","A","2016",57.05,
"ITA","EMP","TOT","PC_WKGPOP","A","2017",57.875,
"ITA","EMP","TOT","PC_WKGPOP","A","2018",58.5,
"ITA","EMP","TOT","PC_WKGPOP","A","2019",59.05,
"ITA","EMP","TOT","PC_WKGPOP","A","2020",57.45,
"ITA","EMP","TOT","PC_WKGPOP","A","2021",58.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2022",60.15,
"JPN","EMP","TOT","PC_WKGPOP","A","2008",70.8734,
"JPN","EMP","TOT","PC_WKGPOP","A","2009",70.17559,
"JPN","EMP","TOT","PC_WKGPOP","A","2010",70.28754,
"JPN","EMP","TOT","PC_WKGPOP","A","2011",70.82615,"B"
"JPN","EMP","TOT","PC_WKGPOP","A","2012",70.61858,
"JPN","EMP","TOT","PC_WKGPOP","A","2013",71.7585,
"JPN","EMP","TOT","PC_WKGPOP","A","2014",72.7607,
"JPN","EMP","TOT","PC_WKGPOP","A","2015",73.3971,
"JPN","EMP","TOT","PC_WKGPOP","A","2016",74.52277,
"JPN","EMP","TOT","PC_WKGPOP","A","2017",75.50069,
"JPN","EMP","TOT","PC_WKGPOP","A","2018",77.1633,
"JPN","EMP","TOT","PC_WKGPOP","A","2019",78.11421,
"JPN","EMP","TOT","PC_WKGPOP","A","2020",77.72765,
"JPN","EMP","TOT","PC_WKGPOP","A","2021",77.88137,
"JPN","EMP","TOT","PC_WKGPOP","A","2022",78.45472,
"GBR","EMP","TOT","PC_WKGPOP","A","2008",72.6,
"GBR","EMP","TOT","PC_WKGPOP","A","2009",70.9,
"GBR","EMP","TOT","PC_WKGPOP","A","2010",70.45,
"GBR","EMP","TOT","PC_WKGPOP","A","2011",70.325,
"GBR","EMP","TOT","PC_WKGPOP","A","2012",70.975,
"GBR","EMP","TOT","PC_WKGPOP","A","2013",71.55,
"GBR","EMP","TOT","PC_WKGPOP","A","2014",72.875,
"GBR","EMP","TOT","PC_WKGPOP","A","2015",73.675,
"GBR","EMP","TOT","PC_WKGPOP","A","2016",74.375,
"GBR","EMP","TOT","PC_WKGPOP","A","2017",75,
"GBR","EMP","TOT","PC_WKGPOP","A","2018",75.625,
"GBR","EMP","TOT","PC_WKGPOP","A","2019",76.175,
"GBR","EMP","TOT","PC_WKGPOP","A","2020",75.4,
"GBR","EMP","TOT","PC_WKGPOP","A","2021",75.125,
"GBR","EMP","TOT","PC_WKGPOP","A","2022",75.575,
"USA","EMP","TOT","PC_WKGPOP","A","2008",70.88825,
"USA","EMP","TOT","PC_WKGPOP","A","2009",67.62595,
"USA","EMP","TOT","PC_WKGPOP","A","2010",66.68977,
"USA","EMP","TOT","PC_WKGPOP","A","2011",66.64754,
"USA","EMP","TOT","PC_WKGPOP","A","2012",67.13661,
"USA","EMP","TOT","PC_WKGPOP","A","2013",67.35994,
"USA","EMP","TOT","PC_WKGPOP","A","2014",68.14875,
"USA","EMP","TOT","PC_WKGPOP","A","2015",68.70962,
"USA","EMP","TOT","PC_WKGPOP","A","2016",69.35136,
"USA","EMP","TOT","PC_WKGPOP","A","2017",70.11017,
"USA","EMP","TOT","PC_WKGPOP","A","2018",70.72614,
"USA","EMP","TOT","PC_WKGPOP","A","2019",71.35841,
"USA","EMP","TOT","PC_WKGPOP","A","2020",67.06998,
"USA","EMP","TOT","PC_WKGPOP","A","2021",69.40365,
"USA","EMP","TOT","PC_WKGPOP","A","2022",71.27018,
"OECD","EMP","TOT","PC_WKGPOP","A","2008",66.21631,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2009",64.44389,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2010",64.30717,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2011",64.67153,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2012",64.92488,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2013",65.13025,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2014",65.69353,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2015",66.29312,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2016",66.95297,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2017",67.70072,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2018",68.38796,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2019",68.79044,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2020",66.01256,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2021",67.69705,"E"
"OECD","EMP","TOT","PC_WKGPOP","A","2022",69.3785,"E"
